/QB X,/QB Y,/Q X,/Q Y,/QB X,/QB Y,/Q X,/Q Y
3.888065249261588e-09,4.327627046407954e-05,3.888065249261588e-09,1.200032414788272,3.888065249261588e-09,4.327627046407954e-05,3.888065249261588e-09,1.200032414788272
4.093307788406679e-09,3.588289007874282e-05,4.093307788406679e-09,1.200034692046519,4.093307788406679e-09,3.588289007874282e-05,4.093307788406679e-09,1.200034692046519
4.503792866696859e-09,4.175198997148885e-05,4.503792866696859e-09,1.200032783448393,4.503792866696859e-09,4.175198997148885e-05,4.503792866696859e-09,1.200032783448393
5e-09,2.703699896568827e-05,5e-09,1.200034768483348,5e-09,2.703699896568827e-05,5e-09,1.200034768483348
5.117593349221051e-09,2.420210555285102e-06,5.117593349221051e-09,1.200006419115024,5.117593349221051e-09,2.420210555285102e-06,5.117593349221051e-09,1.200006419115024
5.326103896911992e-09,-1.975100337306778e-06,5.326103896911992e-09,1.199996180574717,5.326103896911992e-09,-1.975100337306778e-06,5.326103896911992e-09,1.199996180574717
5.519894650151895e-09,1.638790434910478e-06,5.519894650151895e-09,1.200001885605119,5.519894650151895e-09,1.638790434910478e-06,5.519894650151895e-09,1.200001885605119
5.907476156631703e-09,-1.388531506330539e-06,5.907476156631703e-09,1.19999838407919,5.907476156631703e-09,-1.388531506330539e-06,5.907476156631703e-09,1.19999838407919
6.682639169591318e-09,1.387192768409761e-06,6.682639169591318e-09,1.200001178419739,6.682639169591318e-09,1.387192768409761e-06,6.682639169591318e-09,1.200001178419739
8.232965195510547e-09,-1.274017673572758e-06,8.232965195510547e-09,1.199998674285401,8.232965195510547e-09,-1.274017673572758e-06,8.232965195510547e-09,1.199998674285401
1.133361724734901e-08,1.332519053652598e-06,1.133361724734901e-08,1.200001047621917,1.133361724734901e-08,1.332519053652598e-06,1.133361724734901e-08,1.200001047621917
1.753492135102592e-08,-1.24852349446645e-06,1.753492135102592e-08,1.199998736642674,1.753492135102592e-08,-1.24852349446645e-06,1.753492135102592e-08,1.199998736642674
2.753492135102592e-08,1.319551205864818e-06,2.753492135102592e-08,1.200001015461579,2.753492135102592e-08,1.319551205864818e-06,2.753492135102592e-08,1.200001015461579
3.753492135102592e-08,-1.237624249510997e-06,3.753492135102592e-08,1.199998761784578,3.753492135102592e-08,-1.237624249510997e-06,3.753492135102592e-08,1.199998761784578
4.753492135102592e-08,1.308302198068059e-06,4.753492135102592e-08,1.200000990612927,4.753492135102592e-08,1.308302198068059e-06,4.753492135102592e-08,1.200000990612927
5.753492135102592e-08,-1.226334749702257e-06,5.753492135102592e-08,1.199998786411618,5.753492135102592e-08,-1.226334749702257e-06,5.753492135102592e-08,1.199998786411618
6.753492135102592e-08,1.29705820966779e-06,6.753492135102592e-08,1.200000966270512,6.753492135102592e-08,1.29705820966779e-06,6.753492135102592e-08,1.200000966270512
7.753492135102592e-08,-1.21513684853196e-06,7.753492135102592e-08,1.199998810479296,7.753492135102592e-08,-1.21513684853196e-06,7.753492135102592e-08,1.199998810479296
8.753492135102591e-08,1.285905560001463e-06,8.753492135102591e-08,1.200000942480966,8.753492135102591e-08,1.285905560001463e-06,8.753492135102591e-08,1.200000942480966
9.753492135102591e-08,-1.204029982231433e-06,9.753492135102591e-08,1.199998834000423,9.753492135102591e-08,-1.204029982231433e-06,9.753492135102591e-08,1.199998834000423
1.075349213510259e-07,1.274843692779151e-06,1.075349213510259e-07,1.200000919231618,1.075349213510259e-07,1.274843692779151e-06,1.075349213510259e-07,1.200000919231618
1.175349213510259e-07,-1.193013597599865e-06,1.175349213510259e-07,1.199998856987525,1.175349213510259e-07,-1.193013597599865e-06,1.175349213510259e-07,1.199998856987525
1.275349213510259e-07,1.26387205296982e-06,1.275349213510259e-07,1.200000896510087,1.275349213510259e-07,1.26387205296982e-06,1.275349213510259e-07,1.200000896510087
1.375349213510259e-07,-1.182087139877308e-06,1.375349213510259e-07,1.19999887945284,1.375349213510259e-07,-1.182087139877308e-06,1.375349213510259e-07,1.19999887945284
1.475349213510259e-07,1.252990084354738e-06,1.475349213510259e-07,1.200000874304276,1.475349213510259e-07,1.252990084354738e-06,1.475349213510259e-07,1.200000874304276
1.575349213510259e-07,-1.17125005335427e-06,1.575349213510259e-07,1.199998901408329,1.575349213510259e-07,-1.17125005335427e-06,1.575349213510259e-07,1.199998901408329
